link,price,address,directions,area,estetyka,komunikacja (min),ilość siłowni
https://www.otodom.pl//pl/oferta/2-niezalezne-pokoje-balkon-nowy-blok-blisko-pst-ID4kLD8,2350,"Poznań, Piątkowo, ul. Zygmunta Wojciechowskiego ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Pi%C4%85tkowo%2C%20ul.%20Zygmunta%20Wojciechowskiego%20/,40,7,40,7
https://www.otodom.pl//pl/oferta/2pokojowe-ataner-os-batorego-piatkowo-poznan-ID4kg40,2300,"Poznań, Piątkowo, osiedle Stefana Batorego ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Pi%C4%85tkowo%2C%20osiedle%20Stefana%20Batorego%20/,50,3,42,6
https://www.otodom.pl//pl/oferta/nowe-mieszkanie-wynajem-bezposredni-ID4kypb,2800,"Poznań, Grunwald, ul. Ptasia ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Grunwald%2C%20ul.%20Ptasia%20/,49,6,39,9
https://www.otodom.pl//pl/oferta/mieszkanie-2-pokojowe-do-wynajecia-naramowice-ID4kQld,1700,"Poznań, Naramowice, ul. Radłowa ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Naramowice%2C%20ul.%20Rad%C5%82owa%20/,"32,5",5,44,2
https://www.otodom.pl//pl/oferta/nowe-komfortowe-mieszkanie-2-pokojowe-z-garazem-ID4kynH,2350,"Podolany, Poznań, Poznań",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Podolany%2C%20Pozna%C5%84%2C%20Pozna%C5%84/,43,"7,5",51,4
https://www.otodom.pl//pl/oferta/centrum-przy-starym-browarze-mp-w-cenie-ID4kMnL,2500,"Poznań, Centrum, ul. Franciszka Ratajczaka 21",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Centrum%2C%20ul.%20Franciszka%20Ratajczaka%2021/,45,7,19,3
https://www.otodom.pl//pl/oferta/mieszkanie-lazarz-glogowska-65-bezposrednio-ID4i2nd,1900,"Poznań, Łazarz, ul. Głogowska 65",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20%C5%81azarz%2C%20ul.%20G%C5%82ogowska%2065/,48,2,28,1
https://www.otodom.pl//pl/oferta/luksusowy-apartament-ID4iuC9,8000,"Poznań, Chwaliszewo, ul. Tylne Chwaliszewo ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Chwaliszewo%2C%20ul.%20Tylne%20Chwaliszewo%20/,78,10,17,2
https://www.otodom.pl//pl/oferta/paryski-szyk-w-centrum-wilda-ul-rozana-perelka-ID4kgXJ,2500,"Poznań, Górna Wilda, ul. Różana 21",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20G%C3%B3rna%20Wilda%2C%20ul.%20R%C3%B3%C5%BCana%2021/,54,6,20,2
https://www.otodom.pl//pl/oferta/nowe-2-pokojowe-mieszkanie-z-balkonem-wagrowska-ID4kKUY,2350,"Poznań, Starołęka, ul. Wagrowska ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Staro%C5%82%C4%99ka%2C%20ul.%20Wagrowska%20/,41,8,23,1
https://www.otodom.pl//pl/oferta/2-pokoje-podolany-jasielska-ID4kI3A,2700,"Poznań, Podolany, ul. Jasielska ",https://www.google.com/maps/dir/Centrum%20Wyk%C5%82adowe/Pozna%C5%84%2C%20Podolany%2C%20ul.%20Jasielska%20/,50,6,42,10
https://www.otodom.pl/pl/oferta/klimatyczne-mieszkanie-2-pokojowe-bezposrednio-ID4kJ1B,2400,"Poznań, Rzeczpospolitej","https://www.google.com/maps/dir/Centrum+Wykładowe+PP,+Piotrowo+2,+60-965+Poznań/Os.+Rzeczypospolitej,+61-001+Poznań/@52.3949229,16.9407417,15z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x47045b85e236103b:0x8030a1c59859cfa9!2m2!1d16.9496543!2d52.4041496!1m5!1m1!1s0x47045b02ba9c141d:0x13d817e772403c99!2m2!1d16.9450054!2d52.3854184!3e3",50,5,14,3
https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-wynajem-bezposrednio-ID4hPk0,2500,"Poznań, Piątkowo","https://www.google.com/maps/dir/Centrum+Wyk%C5%82adowe+PP,+Politechnika+Pozna%C5%84ska,+Kampus+Piotrowo,+Piotrowo,+Pozna%C5%84/Pi%C4%85tkowo,+Pozna%C5%84/@52.4167521,16.8953224,13z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x47045b85e236103b:0x8030a1c59859cfa9!2m2!1d16.9496543!2d52.4041496!1m5!1m1!1s0x4704433f5b21a903:0x6294c35ccd04ade!2m2!1d16.911301!2d52.4532369!3e3","41,5",8,42,2
https://www.otodom.pl/pl/oferta/mieszkanie-brzask-ataner-komfortowe-jasne-ID4duIw,2800,"Poznań, grunwald, brzask","https://www.google.com/maps/dir/Centrum+Wykładowe+PP,+Politechnika+Poznańska,+Kampus+Piotrowo,+Piotrowo,+Poznań/Brzask,+61-001+Poznań/@52.3966934,16.8812243,13z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x47045b85e236103b:0x8030a1c59859cfa9!2m2!1d16.9496543!2d52.4041496!1m5!1m1!1s0x470444c2e7fe5b03:0x72af9947fa3df226!2m2!1d16.8785659!2d52.4068849!3e3",59,9,38,7